clip_id,label,hedging_rate,certainty_rate,filler_rate,experiencer_rate,passive_rate,neg_emotion_rate,hedge_certainty_ratio,word_count,first_person_rate
truth_000,0,4.746385568312356,1.703214989180171,5.778523925497995,5.323029856408025,6.006763953340969,1.7126904344406555,3.347527689304435,165,7.219506383656322
truth_001,0,4.4661584987226375,0.4607038287395415,4.376903983398037,3.237712470759027,2.685115034481754,2.151397866076219,1.8551855546872735,140,8.228303588907055
truth_002,0,3.601179003022299,1.8776458127969062,5.118850358146151,4.175698018345672,3.4886089916087757,1.6666450001653785,2.0389760326623616,114,9.662835332996059
truth_003,0,4.4297499545052315,0.4282309132841573,7.529239843991739,3.9968612358691233,3.240539531542197,2.037094624951976,2.3306110305670558,124,7.224786335176404
truth_004,0,4.577980118525308,0.5658718912460863,4.981540399449274,3.4149177195836833,5.553717557152712,2.389341031072694,3.0185997134975704,138,8.729400519666772
truth_005,0,3.6729083383701813,1.670038716335328,7.662546480309556,2.603793375919329,3.5511310363915602,2.984992022856658,2.3567939270517995,127,8.786651650465986
truth_006,0,4.160591356979054,2.8952505590698046,6.3566847228287084,4.621902504375224,1.4323568542743579,1.660794119627306,2.4550564659213014,159,10.90799868500888
truth_007,0,3.310657036817494,1.4487700694908245,5.246431633219331,4.128751109659684,6.381562964782903,2.310613946490685,2.4582465296088243,137,7.3549945090489
truth_008,0,4.525732304771034,1.9827386905259226,3.6523326643092546,3.565412866624853,5.107158839299445,1.5634837417877128,2.194371290083938,160,11.683753212300006
truth_009,0,4.483305429795041,1.747887858963683,6.308414377893848,3.773486124550783,2.4137202985813415,3.8705936899882287,2.2845834211313263,110,10.27136334757854
truth_010,0,5.070135141747352,1.1634287816436828,7.2563427688404865,2.398148937207719,7.063912035310539,3.652364500647983,1.805678204921587,131,5.153739480974348
truth_011,0,3.031465914901285,2.131514701444627,4.790144073794774,5.349934405017539,3.812806072072675,1.6423507870354594,2.8881103304218017,189,5.045781854333668
truth_012,0,4.485871073673266,2.3472760102441175,7.139494818110416,2.4795433869157235,3.368269004770685,2.1375877385865487,2.550295710207526,155,8.656837699267495
truth_013,0,6.252351962259233,2.131683044638251,4.4455729935908215,4.456553608633829,3.4321751039162915,2.5296676829939617,3.0951573474044425,161,9.66191430398953
